Designator,Mid X,Mid Y,Rotation,Layer
C1,78.97,-51.24375,180.0,bottom
C10,90.71875,-51.27625,270.0,bottom
C11,59.2,-51.52,270.0,bottom
C12,95.18875,-49.70875,180.0,bottom
C13,85.59375,-40.12125,0.0,bottom
C14,91.20125,-39.2,180.0,bottom
C15,97.21875,-49.70875,180.0,bottom
C16,95.31875,-41.85875,315.0,bottom
C17,99.87125,-46.96875,135.0,bottom
C18,96.2,-52.825,180.0,bottom
C2,78.97,-50.15625,0.0,bottom
C3,82.75,-51.175,0.0,bottom
C4,82.75,-50.135,0.0,bottom
C5,78.95,-46.4,0.0,bottom
C6,86.13875,-51.25125,270.0,bottom
C7,52.9,-51.555,90.0,bottom
C8,82.75,-48.975,180.0,bottom
C9,82.775,-46.9,0.0,bottom
D10,82.999999,-84.9625,90.0,bottom
D11,102.049999,-84.9625,90.0,bottom
D12,121.099999,-84.9625,90.0,bottom
D13,140.149999,-84.9625,90.0,bottom
D14,44.899999,-104.0125,90.0,bottom
D15,63.949999,-104.0125,90.0,bottom
D16,82.999999,-104.0125,90.0,bottom
D17,102.049999,-104.0125,90.0,bottom
D18,121.099999,-104.0125,90.0,bottom
D19,140.149999,-104.0125,90.0,bottom
D2,44.899999,-65.9125,90.0,bottom
D20,63.949999,-123.0625,90.0,bottom
D21,121.099999,-123.0625,90.0,bottom
D3,63.949999,-65.9125,90.0,bottom
D4,82.999999,-65.9125,90.0,bottom
D5,102.049999,-65.9125,90.0,bottom
D6,121.099999,-65.9125,90.0,bottom
D7,140.149999,-65.9125,90.0,bottom
D8,44.899999,-84.9625,90.0,bottom
D9,63.949999,-84.9625,90.0,bottom
F1,54.2,-47.35,90.0,bottom
FB1,52.875,-47.35,270.0,bottom
J1,56.6,-40.175,180.0,bottom
J2,67.425,-42.9,0.0,bottom
PS1,129.5,-45.0,90.0,top
PS2,138.0,-45.0,90.0,top
R1,78.95,-47.85,180.0,bottom
R2,78.94,-48.9,0.0,bottom
R3,96.57125,-46.96875,225.0,bottom
R4,58.86,-46.9,0.0,bottom
R5,55.35,-47.35,90.0,bottom
R6,48.1,-44.375,0.0,bottom
R7,48.1,-45.55,180.0,bottom
R8,96.19,-39.05,180.0,bottom
R9,96.2,-40.25,0.0,bottom
SW1,38.35,-45.0,90.0,top
SW10,76.2,-80.9625,0.0,bottom
SW11,95.25,-80.9625,0.0,bottom
SW12,114.3,-80.9625,0.0,bottom
SW13,133.35,-80.9625,0.0,bottom
SW14,38.1,-100.0125,0.0,bottom
SW15,57.15,-100.0125,0.0,bottom
SW16,76.2,-100.0125,0.0,bottom
SW17,95.25,-100.0125,0.0,bottom
SW18,114.3,-100.0125,0.0,bottom
SW19,133.35,-100.0125,0.0,bottom
SW2,38.1,-61.9125,0.0,bottom
SW20,57.15,-119.0625,0.0,bottom
SW21,114.3,-119.0625,0.0,bottom
SW3,57.15,-61.9125,0.0,bottom
SW4,76.2,-61.9125,0.0,bottom
SW5,95.25,-61.9125,0.0,bottom
SW6,114.3,-61.9125,0.0,bottom
SW7,133.35,-61.9125,0.0,bottom
SW8,38.1,-80.9625,0.0,bottom
SW9,57.15,-80.9625,0.0,bottom
U1,89.71875,-44.42125,0.0,bottom
U2,61.9875,-49.625,180.0,bottom
U4,55.95,-51.05,180.0,bottom
U5,76.5,-42.8775,90.0,bottom
Y1,97.91875,-44.05875,45.0,bottom
